Powder River,M 619.5 304.5 L 619.5 323.5 L 638.5 323.5 L 638.5 304.5 z
Carter,M 619.5 283.5 L 619.5 302.5 L 638.5 302.5 L 638.5 283.5 z
Madison,M 304.5 283.5 L 304.5 323.5 L 344.5 323.5 L 344.5 283.5 z
Beaverhead,M 241.5 283.5 L 241.5 324.5 L 240.5 325.5 L 220.5 325.5 L 220.5 344.5 L 260.5 344.5 L 260.5 283.5 z
Big Horn,M 598.5 241.5 L 598.5 323.5 L 617.5 323.5 L 617.5 241.5 z
Carbon,M 493.5 241.5 L 493.5 323.5 L 533.5 323.5 L 533.5 304.5 L 513.5 304.5 L 512.5 303.5 L 512.5 241.5 z
Ravalli,M 199.5 241.5 L 199.5 261.5 L 198.5 262.5 L 136.5 262.5 L 136.5 302.5 L 156.5 302.5 L 157.5 303.5 L 157.5 344.5 L 218.5 344.5 L 218.5 324.5 L 219.5 323.5 L 239.5 323.5 L 239.5 262.5 L 219.5 262.5 L 218.5 261.5 L 218.5 241.5 z
Treasure,M 598.5 220.5 L 598.5 239.5 L 617.5 239.5 L 617.5 220.5 z
Deer Lodge,M 241.5 220.5 L 241.5 240.5 L 240.5 241.5 L 220.5 241.5 L 220.5 260.5 L 240.5 260.5 L 241.5 261.5 L 241.5 281.5 L 260.5 281.5 L 260.5 220.5 z
Custer,M 619.5 199.5 L 619.5 281.5 L 638.5 281.5 L 638.5 199.5 z
Park,M 451.5 199.5 L 451.5 302.5 L 471.5 302.5 L 472.5 303.5 L 472.5 323.5 L 491.5 323.5 L 491.5 262.5 L 471.5 262.5 L 470.5 261.5 L 470.5 199.5 z
Fallon,M 619.5 178.5 L 619.5 197.5 L 638.5 197.5 L 638.5 178.5 z
Stillwater,M 472.5 178.5 L 472.5 260.5 L 491.5 260.5 L 491.5 178.5 z
Jefferson,M 325.5 178.5 L 325.5 198.5 L 324.5 199.5 L 304.5 199.5 L 304.5 260.5 L 323.5 260.5 L 323.5 240.5 L 324.5 239.5 L 344.5 239.5 L 344.5 178.5 z
Silver Bow,M 262.5 178.5 L 262.5 323.5 L 302.5 323.5 L 302.5 282.5 L 303.5 281.5 L 323.5 281.5 L 323.5 262.5 L 303.5 262.5 L 302.5 261.5 L 302.5 199.5 L 282.5 199.5 L 281.5 198.5 L 281.5 178.5 z
Granite,M 241.5 178.5 L 241.5 218.5 L 260.5 218.5 L 260.5 178.5 z
Wibaux,M 619.5 157.5 L 619.5 176.5 L 638.5 176.5 L 638.5 157.5 z
Rosebud,M 598.5 157.5 L 598.5 218.5 L 617.5 218.5 L 617.5 157.5 z
Wheatland,M 472.5 157.5 L 472.5 176.5 L 491.5 176.5 L 491.5 157.5 z
Sweet Grass,M 451.5 157.5 L 451.5 197.5 L 470.5 197.5 L 470.5 157.5 z
Gallatin,M 346.5 157.5 L 346.5 240.5 L 345.5 241.5 L 325.5 241.5 L 325.5 281.5 L 345.5 281.5 L 346.5 282.5 L 346.5 323.5 L 470.5 323.5 L 470.5 304.5 L 450.5 304.5 L 449.5 303.5 L 449.5 178.5 L 429.5 178.5 L 428.5 177.5 L 428.5 157.5 z
Prairie,M 598.5 136.5 L 598.5 155.5 L 617.5 155.5 L 617.5 136.5 z
Golden Valley,M 472.5 136.5 L 472.5 155.5 L 491.5 155.5 L 491.5 136.5 z
Meagher,M 451.5 136.5 L 451.5 155.5 L 470.5 155.5 L 470.5 136.5 z
Powell,M 241.5 136.5 L 241.5 176.5 L 260.5 176.5 L 260.5 136.5 z
Judith Basin,M 451.5 115.5 L 451.5 134.5 L 470.5 134.5 L 470.5 115.5 z
Broadwater,M 346.5 115.5 L 346.5 155.5 L 386.5 155.5 L 386.5 136.5 L 366.5 136.5 L 365.5 135.5 L 365.5 115.5 z
Missoula,M 136.5 115.5 L 136.5 135.5 L 135.5 136.5 L 73.5 136.5 L 73.5 176.5 L 93.5 176.5 L 94.5 177.5 L 94.5 260.5 L 197.5 260.5 L 197.5 240.5 L 198.5 239.5 L 239.5 239.5 L 239.5 135.5 L 240.5 134.5 L 260.5 134.5 L 260.5 115.5 z
Mineral,M 52.5 115.5 L 52.5 155.5 L 71.5 155.5 L 71.5 115.5 z
Dawson,M 598.5 94.5 L 598.5 134.5 L 618.5 134.5 L 619.5 135.5 L 619.5 155.5 L 638.5 155.5 L 638.5 115.5 L 618.5 115.5 L 617.5 114.5 L 617.5 94.5 z
Garfield,M 577.5 94.5 L 577.5 113.5 L 596.5 113.5 L 596.5 94.5 z
Lake,M 73.5 94.5 L 73.5 134.5 L 134.5 134.5 L 134.5 114.5 L 135.5 113.5 L 239.5 113.5 L 239.5 94.5 z
McCone,M 577.5 73.5 L 577.5 92.5 L 596.5 92.5 L 596.5 73.5 z
Chouteau,M 451.5 73.5 L 451.5 113.5 L 470.5 113.5 L 470.5 73.5 z
Sanders,M 31.5 73.5 L 31.5 134.5 L 50.5 134.5 L 50.5 114.5 L 51.5 113.5 L 71.5 113.5 L 71.5 73.5 z
