Cascade,"[268, 150]"
Chouteau,"[315, 102]"
Deer Lodge,"[172, 244]"
Flathead,"[119, 72]"
Lake,"[117, 122]"
Madison,"[233, 301]"
Powell,"[180, 181]"
Rosebud,"[511, 234]"
Valley,"[521, 64]"
Carter,"[635, 284]"
Fergus,"[381, 151]"
Gallatin,"[273, 287]"
Judith Basin,"[325, 168]"
Lewis and Clark,"[209, 160]"
McCone,"[567, 120]"
Meagher,"[290, 201]"
Pondera,"[215, 74]"
Roosevelt,"[612, 71]"
Teton,"[218, 106]"
Blaine,"[396, 60]"
Broadwater,"[259, 223]"
Silver Bow,"[196, 256]"
Garfield,"[503, 146]"
Missoula,"[122, 164]"
Big Horn,"[475, 292]"
Mineral,"[67, 160]"
Sanders,"[60, 116]"
Carbon,"[396, 305]"
Jefferson,"[226, 237]"
Ravalli,"[117, 242]"
Lincoln,"[47, 51]"
Powder River,"[576, 294]"
Daniels,"[580, 30]"
Park,"[314, 286]"
Stillwater,"[371, 275]"
Toole,"[247, 41]"
Granite,"[152, 218]"
Musselshell,"[426, 211]"
Treasure,"[486, 233]"
Wheatland,"[348, 212]"
Custer,"[582, 226]"
Dawson,"[616, 149]"
Fallon,"[641, 224]"
Golden Valley,"[382, 220]"
Liberty,"[282, 48]"
Prairie,"[591, 181]"
Sweet Grass,"[343, 265]"
Wibaux,"[649, 172]"
Richland,"[633, 110]"
Sheridan,"[636, 35]"
Yellowstone,"[435, 251]"
Beaverhead,"[187, 316]"
Petroleum,"[434, 160]"
Glacier,"[175, 37]"
Hill,"[333, 45]"
Phillips,"[450, 73]"
